sku,period,model,actual,pred,abs_err,signed_err
SFC-050SA2-17B-19B,2026-02,M5_GlobalLGBM_v2,203.0,220.6241932490099,17.624193249009892,17.624193249009892
ALS-030ARN-8BHA-14BHA,2026-02,M5_GlobalLGBM_v2,51.0,115.10924327646256,64.10924327646256,64.10924327646256
ALS-030ABN-10BHA-14BHA,2026-02,M5_GlobalLGBM_v2,294.0,180.3506407281259,113.64935927187409,-113.64935927187409
ALS-055ARN-20BHA-22BHA,2026-02,M5_GlobalLGBM_v2,0.0,281.76277854192074,281.76277854192074,281.76277854192074
CPG-030-T007A,2026-03,M5_GlobalLGBM_v2,0.0,8236.423722758243,8236.423722758243,8236.423722758243
CPG-030-T007B,2026-03,M5_GlobalLGBM_v2,0.0,6562.819637970708,6562.819637970708,6562.819637970708
SFC-030SA2-10B-14B,2026-03,M5_GlobalLGBM_v2,601.0,1222.3910720027177,621.3910720027177,621.3910720027177
ALS-030ARN-10BHA-14BHA,2026-03,M5_GlobalLGBM_v2,636.0,728.4538499686504,92.45384996865039,92.45384996865039
ANTI-NOISE SPRING:XS-08-10-A-20,2026-03,M5_GlobalLGBM_v2,0.0,1458.7292327933078,1458.7292327933078,1458.7292327933078
BXR-09-20-A-22,2026-03,M5_GlobalLGBM_v2,0.0,991.813966718045,991.813966718045,991.813966718045
CPG-030-T001A,2026-03,M5_GlobalLGBM_v2,0.0,6357.63826983904,6357.63826983904,6357.63826983904
SFC-020SA2-7B-8B,2026-03,M5_GlobalLGBM_v2,900.0,607.3729305902688,292.62706940973123,-292.62706940973123
BXH-08-10-A-60,2026-03,M5_GlobalLGBM_v2,990.0,851.7205723341559,138.27942766584408,-138.27942766584408
BXH-08-10-A-78G,2026-03,M5_GlobalLGBM_v2,0.0,594.9132110170134,594.9132110170134,594.9132110170134
